"site","strain","block","area"
"dwd","dwd.B","a",3.543
"dwd","dwd.B","a",4.183
"dwd","dwd.B","a",3.838
"dwd","dwd.B","b",4.339
"dwd","dwd.B","b",3.851
"dwd","dwd.B","b",3.807
"dwd","dwd.B","b",4.259
"dwd","dwd.B","b",3.983
"dwd","dwd.C","a",4.386
"dwd","dwd.C","a",4.632
"dwd","dwd.C","a",4.17
"dwd","dwd.C","a",4.43
"dwd","dwd.C","a",4.558
"dwd","dwd.C","b",4.773
"dwd","dwd.C","b",4.056
"dwd","dwd.C","b",4.522
"dwd","dwd.C","b",3.888
"dwd","dwd.C","b",4.38
"eds","eds.A","a",6.134
"eds","eds.A","a",5.822
"eds","eds.A","a",5.447
"eds","eds.A","a",6.127
"eds","eds.A","a",6.468
"eds","eds.A","b",5.999
"eds","eds.A","b",4.952
"eds","eds.A","b",5.101
"eds","eds.A","b",6.628
"eds","eds.A","b",6.053
"eds","eds.B","a",6.542
"eds","eds.B","a",7.435
"eds","eds.B","a",5.818
"eds","eds.B","a",5.662
"eds","eds.B","a",7.224
"eds","eds.B","b",5.676
"eds","eds.B","b",5.03
"eds","eds.B","b",5.259
"eds","eds.B","b",6.082
"eds","eds.B","b",5.575
"eds","eds.C","a",5.696
"eds","eds.C","a",5.897
"eds","eds.C","a",5.93
"eds","eds.C","a",5.896
"eds","eds.C","a",5.872
"eds","eds.C","b",5.633
"eds","eds.C","b",5.71
"eds","eds.C","b",5.414
"eds","eds.C","b",5.365
"eds","eds.C","b",5.872
"elk","elk.A","a",5.868
"elk","elk.A","a",5.205
"elk","elk.A","a",5.869
"elk","elk.A","a",5.39
"elk","elk.A","a",5.04
"elk","elk.A","b",5.106
"elk","elk.A","b",5.788
"elk","elk.A","b",6.301
"elk","elk.A","b",5.384
"elk","elk.A","b",5.917
"elk","elk.B","a",6.947
"elk","elk.B","a",7.586
"elk","elk.B","a",6.769
"elk","elk.B","a",7.716
"elk","elk.B","a",7.217
"elk","elk.B","b",5.917
"elk","elk.B","b",7.646
"elk","elk.B","b",6.669
"elk","elk.B","b",6.505
"elk","elk.B","b",6.704
"elk","elk.C","a",5.568
"elk","elk.C","a",5.299
