site,drop,replicated,lat,lon,conductivity,tdn,tdp,degree_days,climate_station,station_dist,nutrient_pc1
anz,no,yes,56.45,-111.04,140,2000,169,654.8,FORT MCMURRAY A,24.9,-0.2108
bar,no,no,54.15,-114.46,636,3648,159,580.4,CAMPSIE,13.9,-0.0749
cam,no,yes,52.89,-112.71,271,3884,5010,663.6,CAMROSE,17,3.2117
cas,no,no,54.66,-112.51,219,2872,58,630.6,ATHABASCA 2,68.1,-1.1067
cld,no,no,49.73,-112.62,468,1236,49,874,LETHBRIDGE A,17.2,-1.5379
del,yes,no,49.03,-112.75,1328,2880,399,744.8,CARDSTON,36.3,0.7199
dwd,no,no,52.86,-110.76,334,3716,1720,685.3,FABYAN,20.4,2.1853
eds,no,no,53.61,-115.95,393,1752,59,483.2,SHINING BANK,27.3,-1.2497
elk,no,no,49.66,-110.27,404,459,20,1079.1,MEDICINE HAT A,50.6,-2.7053
han,yes,no,51.5,-112.06,618,5960,2680,721.3,CRAIGMYLE,33.4,2.7573
hhl,no,no,53.74,-112.07,590,2216,63,642.9,VEGREVILLE,27.1,-1.1119
hwy,no,no,54.01,-113.15,940,1716,105,548.6,REDWATER,2.6,-0.7107
keh,no,yes,54.12,-110.82,731,2220,529,573.3,ST LINA,45.5,0.9031
mch,no,yes,49.54,-112.56,3043,4240,1160,874,LETHBRIDGE A,18.8,1.8549
pat,no,no,50.69,-111.67,2812,4040,4280,941.7,JENNER,34.1,3.0752
prk,no,no,49.81,-112.92,332,621,44,767.6,MONARCH,16.6,-1.8615
skf,yes,no,49.37,-111.8,743,661,235,966.7,FOREMOST,28.7,-0.2553
slv,no,no,55.41,-114.8,424,1844,109,633.6,WABASCA RS,86.7,-0.6521
stn,no,yes,55.2,-119.06,187,1904,255,599.8,GRANDE PRAIRIE A,11.7,0.1628
tay,no,no,49.03,-113.12,1195,2848,696,744.8,CARDSTON,12.7,1.2431
val,no,no,55.17,-117.16,190,1920,586,617.4,VALLEYVIEW RS,13.6,0.9532
wan,no,no,55.2,-112.54,194,1216,130,539.8,CALLING LAKE RS,41,-0.6194
wht,no,no,54.06,-115.83,619,737,8,563,WHITECOURT A,8.3,-3.4202
win,no,no,55.61,-116.76,1339,2724,110,649.1,BALLATER,27.9,-0.5178
yng,no,no,55.13,-117.57,222,438,119,617.4,VALLEYVIEW RS,20.5,-1.032
