"label","site_med","site_low","site_upp","strain_med","strain_low","strain_upp","ratio_med","ratio_low","ratio_upp"
"lifespan",2.0090902694141,0.00584155159479263,33.9096727933095,8.58005788595472,2.01069865475543,29.8864171848654,0.233341775704101,0.000612072410518633,7.49140138069997
"shape_mort",11.4881667978383,0.0382919225716042,76.3484502074844,60.4106652059889,14.045447180466,88.4479797405622,0.186715738745182,0.000545897098698268,4.93818156920743
"shape_fecund",5.55014691137212,0.0137595468611348,61.0435933046556,17.1902552729945,4.65995302415309,46.8197991111718,0.29708688449159,0.000542757798265313,9.30689338618441
"total_offspring",9.70011646859538,0.021543292876326,97.423319017794,47.1888795783941,1.80640642065162,78.0700964886368,0.187897596379371,0.000326911681506891,53.9314560202506
"area1",19.5444934265424,0.0587874526621178,84.5345394268441,64.3610413826273,11.6252847522711,90.3247810948242,0.302729334329759,0.000769554586451377,7.26960729452204
"area2",37.5589435781275,15.5242973570424,59.9142332438677,39.0492198544676,22.6963462243907,60.2520181366763,0.969200955159906,0.257513972808982,2.625916120379
