"var","observed","expected","sd","zI","p.value"
"conductivity",0.0816521248254627,-0.0434782608695652,0.0609170122795778,2.0541123244972,0.0399648214865105
"nutrient_pc1",-0.000468235172367401,-0.0434782608695652,0.0611383513872871,0.703486841258549,0.481752404375609
"degree_days",0.349141829904332,-0.0434782608695652,0.0600121225936587,6.54234634279348,6.05611116810678e-11
"med_lifespan",-0.0907295997727393,-0.0434782608695652,0.0625433752200218,-0.755497104800441,0.449950768823635
"med_shapem",-0.00668960173110911,-0.0434782608695652,0.0650603942869144,0.565453983820313,0.571765014940498
"med_shapef",0.0015150617348824,-0.0434782608695652,0.0654755202174034,0.687177779650362,0.491970705007013
"med_total_offspring",0.0120009000739876,-0.0434782608695652,0.0635371444735999,0.873176807097536,0.382566714339636
"med_area1",0.0645768155212209,-0.0434782608695652,0.0640185966733404,1.68787011908657,0.0914361637368388
"med_area2",0.145111379805283,-0.0434782608695652,0.0615139382243033,3.06580339543825,0.00217086008029832
