"strain","surv_low","surv_med","surv_upp","haz_low","haz_med","haz_upp","t","model","waic","diverg"
"anz.B",1,1,1,0.0366759397197338,0.0506760717400726,0.0669557704068719,0,"Exponential",322.363283564732,0
"anz.B",0.981241193553483,0.985769596780988,0.989680620959068,0.0366759397197338,0.0506760717400726,0.0669557704068719,0.282828282828283,"Exponential",322.363283564732,0
"anz.B",0.962834281700317,0.971741697939182,0.979467731616477,0.0366759397197338,0.0506760717400726,0.0669557704068719,0.565656565656566,"Exponential",322.363283564732,0
"anz.B",0.944772663251386,0.9579134217556,0.969360233062303,0.0366759397197338,0.0506760717400726,0.0669557704068719,0.848484848484848,"Exponential",322.363283564732,0
"anz.B",0.927049860849873,0.944281927519283,0.959357037726725,0.0366759397197338,0.0506760717400726,0.0669557704068719,1.13131313131313,"Exponential",322.363283564732,0
"anz.B",0.90965951864827,0.930844414943736,0.949457069263002,0.0366759397197338,0.0506760717400726,0.0669557704068719,1.41414141414141,"Exponential",322.363283564732,0
"anz.B",0.892595400028966,0.917598123591673,0.939659262431663,0.0366759397197338,0.0506760717400726,0.0669557704068719,1.6969696969697,"Exponential",322.363283564732,0
"anz.B",0.875851385367581,0.904540332307941,0.929962562985876,0.0366759397197338,0.0506760717400726,0.0669557704068719,1.97979797979798,"Exponential",322.363283564732,0
"anz.B",0.859421469838282,0.891668358660524,0.920365927558021,0.0366759397197338,0.0506760717400726,0.0669557704068719,2.26262626262626,"Exponential",322.363283564732,0
"anz.B",0.843299761260247,0.878979558389497,0.910868323547417,0.0366759397197338,0.0506760717400726,0.0669557704068719,2.54545454545455,"Exponential",322.363283564732,0
"anz.B",0.827480477984542,0.86647132486382,0.901468729009212,0.0366759397197338,0.0506760717400726,0.0669557704068719,2.82828282828283,"Exponential",322.363283564732,0
"anz.B",0.811957946820634,0.854141088545865,0.892166132544427,0.0366759397197338,0.0506760717400726,0.0669557704068719,3.11111111111111,"Exponential",322.363283564732,0
"anz.B",0.796726601001799,0.84198631646356,0.882959533191124,0.0366759397197338,0.0506760717400726,0.0669557704068719,3.39393939393939,"Exponential",322.363283564732,0
"anz.B",0.781780978188702,0.830004511690048,0.873847940316701,0.0366759397197338,0.0506760717400726,0.0669557704068719,3.67676767676768,"Exponential",322.363283564732,0
"anz.B",0.767115718510424,0.818193212830751,0.864830373511303,0.0366759397197338,0.0506760717400726,0.0669557704068719,3.95959595959596,"Exponential",322.363283564732,0
"anz.B",0.752725562642241,0.806549993517725,0.855905862482328,0.0366759397197338,0.0506760717400726,0.0669557704068719,4.24242424242424,"Exponential",322.363283564732,0
"anz.B",0.738605349919463,0.795072461911225,0.84707344695002,0.0366759397197338,0.0506760717400726,0.0669557704068719,4.52525252525253,"Exponential",322.363283564732,0
"anz.B",0.724750016486652,0.783758260208348,0.838332176544146,0.0366759397197338,0.0506760717400726,0.0669557704068719,4.80808080808081,"Exponential",322.363283564732,0
"anz.B",0.711154593481559,0.772605064158678,0.829681110701734,0.0366759397197338,0.0506760717400726,0.0669557704068719,5.09090909090909,"Exponential",322.363283564732,0
"anz.B",0.697814205253141,0.761610582586821,0.821119318565866,0.0366759397197338,0.0506760717400726,0.0669557704068719,5.37373737373737,"Exponential",322.363283564732,0
"anz.B",0.684724067612986,0.750772556921734,0.812645878885519,0.0366759397197338,0.0506760717400726,0.0669557704068719,5.65656565656566,"Exponential",322.363283564732,0
"anz.B",0.671879486119558,0.740088760732748,0.804259879916438,0.0366759397197338,0.0506760717400726,0.0669557704068719,5.93939393939394,"Exponential",322.363283564732,0
"anz.B",0.659275854394622,0.729556999272206,0.795960419323031,0.0366759397197338,0.0506760717400726,0.0669557704068719,6.22222222222222,"Exponential",322.363283564732,0
"anz.B",0.646908652471247,0.719175109024591,0.787746604081277,0.0366759397197338,0.0506760717400726,0.0669557704068719,6.50505050505051,"Exponential",322.363283564732,0
"anz.B",0.634773445172807,0.708940957262086,0.779617550382635,0.0366759397197338,0.0506760717400726,0.0669557704068719,6.78787878787879,"Exponential",322.363283564732,0
"anz.B",0.622865880522383,0.698852441606454,0.771572383538949,0.0366759397197338,0.0506760717400726,0.0669557704068719,7.07070707070707,"Exponential",322.363283564732,0
"anz.B",0.611181688182013,0.688907489597145,0.763610237888326,0.0366759397197338,0.0506760717400726,0.0669557704068719,7.35353535353535,"Exponential",322.363283564732,0
"anz.B",0.599716677921212,0.679104058265561,0.755730256701994,0.0366759397197338,0.0506760717400726,0.0669557704068719,7.63636363636364,"Exponential",322.363283564732,0
"anz.B",0.588466738114223,0.66944013371537,0.747931592092116,0.0366759397197338,0.0506760717400726,0.0669557704068719,7.91919191919192,"Exponential",322.363283564732,0
"anz.B",0.577427834265461,0.6599137307088,0.740213404920556,0.0366759397197338,0.0506760717400726,0.0669557704068719,8.2020202020202,"Exponential",322.363283564732,0
"anz.B",0.566596007562619,0.65052289225881,0.732574864708589,0.0366759397197338,0.0506760717400726,0.0669557704068719,8.48484848484848,"Exponential",322.363283564732,0
"anz.B",0.555967373456914,0.641265689227076,0.725015149547539,0.0366759397197338,0.0506760717400726,0.0669557704068719,8.76767676767677,"Exponential",322.363283564732,0
"anz.B",0.545538120269965,0.632140219927692,0.717533446010343,0.0366759397197338,0.0506760717400726,0.0669557704068719,9.05050505050505,"Exponential",322.363283564732,0
"anz.B",0.535304507826811,0.623144609736507,0.710128949064022,0.0366759397197338,0.0506760717400726,0.0669557704068719,9.33333333333333,"Exponential",322.363283564732,0
"anz.B",0.525262866114568,0.61427701070603,0.702800861983066,0.0366759397197338,0.0506760717400726,0.0669557704068719,9.61616161616162,"Exponential",322.363283564732,0
"anz.B",0.515409593966246,0.605535601185808,0.695548396263696,0.0366759397197338,0.0506760717400726,0.0669557704068719,9.8989898989899,"Exponential",322.363283564732,0
"anz.B",0.505741157769265,0.596918585448208,0.688370771539029,0.0366759397197338,0.0506760717400726,0.0669557704068719,10.1818181818182,"Exponential",322.363283564732,0
"anz.B",0.496254090198192,0.588424193319527,0.681267215495105,0.0366759397197338,0.0506760717400726,0.0669557704068719,10.4646464646465,"Exponential",322.363283564732,0
"anz.B",0.486944988971248,0.580050679816348,0.67423696378779,0.0366759397197338,0.0506760717400726,0.0669557704068719,10.7474747474747,"Exponential",322.363283564732,0
"anz.B",0.477810515630152,0.571796324787071,0.667279259960525,0.0366759397197338,0.0506760717400726,0.0669557704068719,11.030303030303,"Exponential",322.363283564732,0
"anz.B",0.468847394342844,0.563659432558547,0.660393355362938,0.0366759397197338,0.0506760717400726,0.0669557704068719,11.3131313131313,"Exponential",322.363283564732,0
"anz.B",0.460052410728675,0.555638331587743,0.653578509070285,0.0366759397197338,0.0506760717400726,0.0669557704068719,11.5959595959596,"Exponential",322.363283564732,0
"anz.B",0.45142241070563,0.547731374118354,0.646833987803727,0.0366759397197338,0.0506760717400726,0.0669557704068719,11.8787878787879,"Exponential",322.363283564732,0
"anz.B",0.442954299359183,0.539936935842314,0.640159065851426,0.0366759397197338,0.0506760717400726,0.0669557704068719,12.1616161616162,"Exponential",322.363283564732,0
