"label","strain_med","strain_low","strain_upp","block_med","block_low","block_upp","ratio_med","ratio_low","ratio_upp"
"lifespan",8.07516824973813,0.996407441988513,17.6304054003899,5.40132489240194,1.33857431060554,14.0324077206648,1.56938410445302,0.0867612619465122,9.11750450197441
"shape_mort",9.33294858977825,0.0274178356113633,45.1253606823803,49.3939002136139,17.7346392586363,69.4310238563641,0.183754637724316,0.000451228860546384,2.17263950796574
"shape_fecund",11.6041744471545,3.16452535788822,23.997632739383,5.67726276570139,1.50391628115538,14.9623088125456,2.12948157622608,0.214265298103569,10.4513243531747
"total_offspring",45.6346610458811,31.4728588703833,60.7780941960396,3.17359509222615,0.812401235498087,8.05065492811409,14.4766881507174,4.33424580749442,62.643299293051
"area1",56.5466095087646,33.9197232217902,73.8760115821613,21.9291934469972,10.9980431296563,41.4303222783773,2.5801639775269,0.831110025692574,6.48313052577655
"area2",74.1775277769538,65.9117540265464,81.1196462168398,4.3479927326635,1.71873858214916,8.34564235907579,17.0790106825526,8.04258483488782,45.7735039804832
